trip_id,start_time,end_time,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthyear,tripduration_mins,trip_date,trip_day,trip_month,trip_hour,age,gender_cleaned,usertype_cleaned
25839466,2019-12-06 15:23:22 UTC,2019-12-06 15:26:44 UTC,5203,201,243,Lincoln Ave & Sunnyside Ave,298,Lincoln Ave & Belle Plaine Ave,Subscriber,Male,1959,3.35,2019-12-06,6,12,15,66,Male,Subscriber
24720100,2019-09-01 15:18:28 UTC,2019-09-01 15:28:01 UTC,4484,573,296,Broadway & Belmont Ave,131,Lincoln Ave & Belmont Ave,Subscriber,Male,1954,9.55,2019-09-01,1,9,15,71,Male,Subscriber
25584943,2019-10-28 11:06:17 UTC,2019-10-28 11:21:02 UTC,346,885,329,Lake Shore Dr & Diversey Pkwy,127,Lincoln Ave & Fullerton Ave,Subscriber,Male,1957,14.75,2019-10-28,28,10,11,68,Male,Subscriber
22786638,2019-05-23 16:33:28 UTC,2019-05-23 17:00:36 UTC,3888,1628,454,Broadway & Granville Ave,230,Lincoln Ave & Roscoe St,Subscriber,Male,1954,27.13,2019-05-23,23,5,16,71,Male,Subscriber
23809382,2019-07-17 11:17:13 UTC,2019-07-17 11:33:58 UTC,993,1005,240,Sheridan Rd & Irving Park Rd,230,Lincoln Ave & Roscoe St,Subscriber,Male,1956,16.75,2019-07-17,17,7,11,69,Male,Subscriber
24761724,2019-09-03 21:57:14 UTC,2019-09-03 22:23:55 UTC,4145,1600,116,Western Ave & Winnebago Ave,230,Lincoln Ave & Roscoe St,Subscriber,Male,1956,26.67,2019-09-03,3,9,21,69,Male,Subscriber
25219802,2019-09-30 18:14:34 UTC,2019-09-30 18:20:58 UTC,1517,383,314,Ravenswood Ave & Berteau Ave,243,Lincoln Ave & Sunnyside Ave,Subscriber,Male,1956,6.38,2019-09-30,30,9,18,69,Male,Subscriber
24918475,2019-09-12 17:33:33 UTC,2019-09-12 17:43:46 UTC,4378,613,482,Campbell Ave & Montrose Ave,257,Lincoln Ave & Waveland Ave,Subscriber,Male,1959,10.22,2019-09-12,12,9,17,66,Male,Subscriber
22613727,2019-05-10 18:57:23 UTC,2019-05-10 19:34:22 UTC,1761,2219,81,Daley Center Plaza,257,Lincoln Ave & Waveland Ave,Subscriber,Male,1958,36.98,2019-05-10,10,5,18,67,Male,Subscriber
22580463,2019-05-08 14:40:12 UTC,2019-05-08 14:51:31 UTC,2566,679,239,Western Ave & Leland Ave,257,Lincoln Ave & Waveland Ave,Subscriber,Male,1959,11.32,2019-05-08,8,5,14,66,Male,Subscriber
25775938,2019-11-25 13:55:24 UTC,2019-11-25 14:04:16 UTC,2079,532,172,Rush St & Cedar St,673,Lincoln Park Conservatory,Subscriber,Male,1958,8.87,2019-11-25,25,11,13,67,Male,Subscriber
21888952,2019-02-06 16:17:58 UTC,2019-02-06 16:50:57 UTC,5967,1979,230,Lincoln Ave & Roscoe St,258,Logan Blvd & Elston Ave,Subscriber,Male,1956,32.98,2019-02-06,6,2,16,69,Male,Subscriber
24955996,2019-09-14 16:39:25 UTC,2019-09-14 16:52:26 UTC,3521,780,116,Western Ave & Winnebago Ave,258,Logan Blvd & Elston Ave,Subscriber,Male,1956,13,2019-09-14,14,9,16,69,Male,Subscriber
23162027,2019-06-14 08:17:17 UTC,2019-06-14 08:26:08 UTC,2944,531,77,Clinton St & Madison St,146,Loomis St & Jackson Blvd,Subscriber,Male,1956,8.85,2019-06-14,14,6,8,69,Male,Subscriber
25648681,2019-11-05 13:35:48 UTC,2019-11-05 13:41:42 UTC,5090,354,109,900 W Harrison St,320,Loomis St & Lexington St,Subscriber,Male,2001,5.9,2019-11-05,5,11,13,24,Male,Subscriber
23541776,2019-07-04 06:32:30 UTC,2019-07-04 06:59:52 UTC,1482,1642,320,Loomis St & Lexington St,320,Loomis St & Lexington St,Subscriber,Female,1951,27.37,2019-07-04,4,7,6,74,Female,Subscriber
24010520,2019-07-27 21:35:41 UTC,2019-07-27 21:55:24 UTC,6097,1183,90,Millennium Park,320,Loomis St & Lexington St,Subscriber,Male,1958,19.72,2019-07-27,27,7,21,67,Male,Subscriber
25143538,2019-09-25 11:31:03 UTC,2019-09-25 11:53:07 UTC,3334,1324,457,Clark St & Elmdale Ave,455,Maplewood Ave & Peterson Ave,Subscriber,Male,1953,22.07,2019-09-25,25,9,11,72,Male,Subscriber
22829869,2019-05-26 09:16:24 UTC,2019-05-26 09:27:13 UTC,3541,649,306,Sheridan Rd & Buena Ave,465,Marine Dr & Ainslie St,Subscriber,Male,1953,10.82,2019-05-26,26,5,9,72,Male,Subscriber
23865229,2019-07-20 17:51:16 UTC,2019-07-20 18:00:55 UTC,428,578,320,Loomis St & Lexington St,22,May St & Taylor St,Subscriber,Male,2000,9.63,2019-07-20,20,7,17,25,Male,Subscriber
25365460,2019-10-10 07:22:06 UTC,2019-10-10 07:45:07 UTC,1396,1380,273,Michigan Ave & 18th St,142,McClurg Ct & Erie St,Subscriber,Male,1957,23,2019-10-10,10,10,7,68,Male,Subscriber
22485396,2019-04-30 07:17:03 UTC,2019-04-30 07:45:59 UTC,1178,1736,93,Sheffield Ave & Willow St,142,McClurg Ct & Erie St,Subscriber,Male,1952,28.93,2019-04-30,30,4,7,73,Male,Subscriber
24620795,2019-08-27 14:55:43 UTC,2019-08-27 14:59:50 UTC,4588,247,35,Streeter Dr & Grand Ave,142,McClurg Ct & Erie St,Subscriber,Male,1951,4.12,2019-08-27,27,8,14,74,Male,Subscriber
22830400,2019-05-26 10:23:02 UTC,2019-05-26 10:25:05 UTC,696,123,26,McClurg Ct & Illinois St,26,McClurg Ct & Illinois St,Subscriber,Male,1959,2.05,2019-05-26,26,5,10,66,Male,Subscriber
23708379,2019-07-12 11:20:57 UTC,2019-07-12 11:29:53 UTC,4292,535,35,Streeter Dr & Grand Ave,26,McClurg Ct & Illinois St,Customer,Male,1953,8.92,2019-07-12,12,7,11,72,Male,Customer
